RES_ID,Date,Level,Storage
19,1985/1/2,808.26864,60.8845728
19,1985/1/8,807.799248,58.775322
19,1985/1/15,807.585888,57.8748816
19,1985/1/22,807.524928,57.66519
19,1985/1/29,807.634656,58.096908
19,1985/2/5,807.701712,58.405278
19,1985/2/13,809.378112,65.9171712
19,1985/2/19,809.06112,64.4739996
19,1985/2/26,808.7868,63.2281848
19,1985/3/1,808.640496,58.9973484
19,1985/3/5,808.536864,62.0810484
19,1985/3/12,808.494192,61.9083612
19,1985/3/19,808.469808,64.6836912
19,1985/3/26,808.463712,61.7726784
19,1985/4/2,809.286672,65.497788
19,1985/4/9,809.0916,64.6096824
19,1985/4/16,808.896528,63.709242
19,1985/4/23,808.774608,63.154176
19,1985/4/30,808.72584,62.9568192
19,1985/5/7,808.677072,62.722458
19,1985/5/14,808.646592,62.59911
19,1985/5/21,808.610016,62.4017532
19,1985/5/28,808.561248,62.1797268
19,1985/6/11,808.445424,61.7110044
19,1985/6/18,808.347888,61.2916212
19,1985/6/25,808.165008,60.4775244
19,1985/7/2,807.976032,59.5894188
19,1985/7/9,807.665136,58.220256
19,1985/7/16,807.329856,56.801754
19,1985/7/19,793.674816,-0.2343612
19,1985/7/23,806.958,55.2969084
19,1985/7/30,806.56176,53.6933844
19,1985/8/6,806.171616,52.0898604
19,1985/8/13,805.7388,50.3629884
19,1985/8/20,805.305984,49.4995524
19,1985/8/27,804.842688,46.748892
19,1985/9/3,804.39768,44.9480112
19,1985/9/10,803.964864,43.233474
19,1985/9/17,803.495472,41.3462496
19,1985/9/24,803.013888,39.533034
19,1985/10/1,802.526208,37.62114
19,1985/10/8,802.02024,35.7339156
19,1985/10/15,801.50208,33.9330348
19,1985/10/22,801.087552,32.563872
19,1985/10/29,800.794944,31.6757664
19,1985/11/26,799.88664,28.863432
19,1985/12/3,802.989504,39.4343556
19,1985/12/10,804.781728,46.4775264
19,1985/12/17,805.117008,47.4643104
19,1985/12/24,805.275504,48.475764
19,1985/12/30,804.781728,46.4775264
19,1985/12/31,805.366944,48.845808
19,1986/1/7,805.848528,50.7947064
19,1986/1/14,806.244768,52.3982304
19,1986/1/21,809.432976,66.176202
19,1986/3/25,809.12208,64.7453652
19,1987/6/22,807.960792,54.89726088
19,1987/6/29,807.677328,53.67734916
19,1987/7/6,807.332904,52.21444188
19,1987/7/13,806.948856,50.61091788
19,1987/7/20,806.448984,48.57074196
19,1987/7/27,806.1198,47.25955272
19,1987/8/3,805.644312,45.3982314
19,1987/8/10,805.241976,43.85884836
19,1987/8/17,804.714672,41.88651384
19,1987/8/24,804.233088,40.13250528
